SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
50,12,11,Florida,Broward County,5,15,90866,41827,49039,30552,33906,8908,12338,105,157,1660,1975,52,46,550,617,30914,34296,9222,12746,298,338,1892,2224,135,134,32341,36395,21711,22111,8484,11768,60,81,1615,1942,41,34,430,459,21966,22360,8720,12064,212,221,1813,2151,117,114,9486,12644,8841,11795,424,570,45,76,45,33,11,12,120,158,8948,11936,502,682,86,117,79,73,18,20
50,12,11,Florida,Broward County,5,16,69825,31362,38463,24054,28310,5723,8167,75,101,1111,1407,21,24,378,454,24308,28597,5930,8437,208,252,1263,1596,90,104,24871,29039,17965,19495,5449,7772,47,59,1091,1332,13,16,306,365,18159,19703,5608,7987,164,184,1218,1493,75,86,6491,9424,6089,8815,274,395,28,42,20,75,8,8,72,89,6149,8894,322,450,44,68,45,103,15,18
50,12,11,Florida,Broward County,5,17,45637,19610,26027,15583,20020,3162,4960,56,75,606,686,6,13,197,273,15713,20203,3265,5114,132,186,675,797,37,50,15631,19381,11764,13713,3065,4741,31,36,599,670,3,10,169,211,11872,13844,3151,4852,101,125,659,756,30,39,3979,6646,3819,6307,97,219,25,39,7,16,3,3,28,62,3841,6359,114,262,31,61,16,41,7,11
50,12,11,Florida,Broward County,5,18,44420,17092,27328,14123,21509,2283,4711,40,77,529,798,5,3,112,230,14200,21665,2338,4828,79,166,578,898,24,38,13557,20950,10618,15351,2278,4584,37,44,519,781,2,2,103,188,10686,15470,2328,4675,73,121,566,868,19,35,3535,6378,3505,6158,5,127,3,33,10,17,3,1,9,42,3514,6195,10,153,6,45,12,30,5,3
50,12,31,Florida,Duval County,5,5,65444,32893,32551,18652,18079,10921,11124,192,151,1562,1576,53,39,1513,1582,19989,19487,11785,12053,435,400,2196,2217,149,135,27922,27921,14628,14324,10356,10643,102,83,1507,1525,35,25,1294,1321,15774,15496,11079,11405,280,265,2079,2094,112,104,4971,4630,4024,3755,565,481,90,68,55,51,18,14,219,261,4215,3991,706,648,155,135,117,123,37,31
50,12,31,Florida,Duval County,5,6,77271,38196,39075,23276,22857,11219,12363,176,190,1904,2006,61,55,1560,1604,24645,24255,12096,13255,467,476,2544,2687,147,169,32818,33792,18847,18533,10671,11826,94,109,1852,1910,33,40,1321,1374,19992,19720,11393,12578,320,335,2437,2530,108,135,5378,5283,4429,4324,548,537,82,81,52,96,28,15,239,230,4653,4535,703,677,147,141,107,157,39,34
50,12,31,Florida,Duval County,5,7,84888,41662,43226,25461,24686,12315,14556,246,191,2286,2469,45,56,1309,1268,26582,25768,12987,15201,520,443,2862,3051,151,161,36037,37583,20831,19979,11736,13974,145,113,2215,2410,26,35,1084,1072,21750,20878,12263,14493,356,314,2736,2946,113,130,5625,5643,4630,4707,579,582,101,78,71,59,19,21,225,196,4832,4890,724,708,164,129,126,105,38,31
50,12,31,Florida,Duval County,5,8,75815,37519,38296,23561,22279,10451,12524,238,174,2361,2326,55,47,853,946,24278,23075,10861,12990,407,371,2769,2788,126,121,31921,33102,18835,17928,9951,11999,131,95,2290,2260,33,30,681,790,19394,18581,10246,12355,257,247,2659,2683,97,98,5598,5194,4726,4351,500,525,107,79,71,66,22,17,172,156,4884,4494,615,635,150,124,110,105,29,23
50,12,31,Florida,Duval County,5,9,67026,32610,34416,20613,19785,9074,11334,135,176,1988,2237,74,57,726,827,21212,20464,9428,11743,299,356,2324,2638,146,132,27486,29661,16241,15869,8618,10801,89,99,1915,2192,56,35,567,665,16696,16405,8868,11100,210,236,2217,2556,117,100,5124,4755,4372,3916,456,533,46,77,73,45,18,22,159,162,4516,4059,560,643,89,120,107,82,29,32
50,12,31,Florida,Duval County,5,10,57701,27803,29898,17597,17135,7694,9916,141,144,1773,1911,58,35,540,757,18043,17750,7941,10289,269,331,2027,2268,103,96,23679,26035,14023,13994,7361,9456,84,87,1729,1860,46,24,436,614,14369,14476,7543,9736,186,235,1961,2178,87,74,4124,3863,3574,3141,333,460,57,57,44,51,12,11,104,143,3674,3274,398,553,83,96,66,90,16,22
